Film Title,Character,Dialogue
Pocahontas,Ben,"It can look like Ratcliffe’s knickers, for all I care, just as long as we get off this stinking boat."
Pocahontas,John Smith,"Come on, men, we didn’t come all this way just to look at it."
Pocahontas,Ben,"Keep it taut, lads, keep it taut! Steady, steady."
Pocahontas,Lon,"Ah, that’s far enough! All right now, tie her off."
Pocahontas,Thomas,"Here, John, tie up this end. John? John? What are you doing up there?"
Pocahontas,John Smith,"Getting a better look. [Meeko bumps into him.] Hey! Well, you’re a strange-looking fellow. You hungry? Here you go, it’s a biscuit. It’s food… Well, sort of. You like it, eh? Well, try eating it for four months straight. You got a friend back there? [Flit attacks him.] Hey, what, what, watch out! No… Get that… Look out!"
Pocahontas,Thomas,John! You better get down here! The Governor’s coming ashore!
Pocahontas,John Smith,"All right, all right, I’m leaving."
Pocahontas,Native American,Did you see their skin? Pale and sickly.
Pocahontas,Native American,They have hair on their faces like dogs.
Pocahontas,Powhatan,"My brothers, we must know more about these visitors. Kekata, what do you see?"
Pocahontas,Kekata,"[Chanting.] These are not men like us, but strange beasts with bodies that shine like the sun and weapons that spout fire and thunder. They prowl the earth like ravenous wolves consuming everything in their path."
Pocahontas,Kocoum,Great Powhatan. I will lead our warriors to the river and attack. We will destroy these invaders the way we destroyed the Massawomecks.
Pocahontas,Powhatan,"Kocoum, in that battle we knew how to fight our enemy, but these pale visitors are strange to us. Take some men to the river to observe them. Let us hope they do not intend to stay."
Pocahontas,Ratcliffe,"I hereby claim this land and all its riches in the name of His Majesty King James the first, and do so name this settlement Jamestown."
Pocahontas,Englishmen,[Cheer.]
Pocahontas,Wiggins,"Bravo! Bravo! Beautifully spoken, sir! Hurry now, Percy. We must be all squeaky clean for the New World. [Exits.]"
Pocahontas,Ratcliffe,"Captain Smith! It appears I’ve selected the perfect location, eh? Not a savage in sight."
Pocahontas,John Smith,"Just because we don’t see them doesn’t mean they’re not out there, sir."
Pocahontas,Ratcliffe,"Well then, perhaps you should venture forth and determine their whereabouts, hmm?"
Pocahontas,John Smith,"If there are any Indians out there, I’ll find them."
Pocahontas,Ratcliffe,"Now, gentlemen, to work. You men, get the ship unloaded."
Pocahontas,Englishman,"Right, sir."
Pocahontas,Ratcliffe,You men build the fort. The rest of you… Break out the shovels! It’s time to start digging.
Pocahontas,Ratcliffe,"Why, of course! Let’s not forget what the Spanish found when they came to the New World. Gold, mountains of it. Why, for years they’ve been ravaging the New World of its most precious resources but now… It’s our turn."
Pocahontas,Englishmen,Dig and dig and dig and diggety
Pocahontas,Wiggins,Hey nonny nonny
Pocahontas,Ratcliffe,"Ooh, how I love it"
Pocahontas,Wiggins,Hey nonny nonny
Pocahontas,Ratcliffe,Riches for cheap
Pocahontas,Wiggins,Hey nonny nonny
Pocahontas,Ratcliffe,There’ll be heaps of it
Pocahontas,Englishmen,Dig and dig and dig and diggety
