Film Title,Character,Gender,Race/Ethnicity,Culture,Role,Marginalized,POC,Dialogue
Pocahontas,John Smith,Male,Caucasian,English,Protagonist,False,False,I met one of them.
Pocahontas,John Smith,Male,Caucasian,English,Protagonist,False,False,"They’re not savages, they can help us. They know the land, they know how to navigate the rivers. And, look! It’s food!"
Pocahontas,John Smith,Male,Caucasian,English,Protagonist,False,False,"It’s better than hardtack and gruel, that’s for sure."
Pocahontas,Wiggins,Male,Caucasian,English,Supporting,False,False,I like gruel.
Pocahontas,Ratcliffe,Male,Caucasian,English,Antagonist,False,False,"They don’t want to feed us, you ninnies! They want to kill us! All of us! They’ve got our gold, and they’ll do anything to keep it!"
Pocahontas,John Smith,Male,Caucasian,English,Protagonist,False,False,But there is no gold!
Pocahontas,Ratcliffe,Male,Caucasian,English,Antagonist,False,False,And I suppose your little Indian friend told you this.
Pocahontas,John Smith,Male,Caucasian,English,Protagonist,False,False,Yes.
Pocahontas,Ratcliffe,Male,Caucasian,English,Antagonist,False,False,"Lies! Lies, all of it! Murderous thieves, there’s no room for their kind in civilized society."
Pocahontas,John Smith,Male,Caucasian,English,Protagonist,False,False,But this is their land!
Pocahontas,Ratcliffe,Male,Caucasian,English,Antagonist,False,False,"This is my land! I make the laws here. And I say anyone so much as looks at an Indian without killing him on sight, will be tried for treason and hanged."
Pocahontas,Nakoma,Female,Native American,Powhatan,Supporting,True,True,Pocahontas!
Pocahontas,Pocahontas,Female,Native American,Powhatan,Protagonist,True,True,Nakoma!
Pocahontas,Nakoma,Female,Native American,Powhatan,Supporting,True,True,"Don’t go out there. I lied for you once, don’t ask me to do it again."
Pocahontas,Pocahontas,Female,Native American,Powhatan,Protagonist,True,True,I have to do this.
Pocahontas,Nakoma,Female,Native American,Powhatan,Supporting,True,True,He’s one of them!
Pocahontas,Pocahontas,Female,Native American,Powhatan,Protagonist,True,True,You don’t know him.
Pocahontas,Nakoma,Female,Native American,Powhatan,Supporting,True,True,"You go out there, you’ll be turning your back on your own people."
Pocahontas,Pocahontas,Female,Native American,Powhatan,Protagonist,True,True,I’m trying to help my people.
Pocahontas,Nakoma,Female,Native American,Powhatan,Supporting,True,True,"Pocahontas, please… You’re my best friend, I don’t want you to get hurt."
Pocahontas,Pocahontas,Female,Native American,Powhatan,Protagonist,True,True,"I won’t, I know what I’m doing."
Pocahontas,Nakoma,Female,Native American,Powhatan,Supporting,True,True,"Pocahontas, no!"
Pocahontas,Ratcliffe,Male,Caucasian,English,Antagonist,False,False,Follow him.
Pocahontas,Ratcliffe,Male,Caucasian,English,Antagonist,False,False,I want to know where he’s sneaking off to.
Pocahontas,Ratcliffe,Male,Caucasian,English,Antagonist,False,False,"And if you happen to see any Indians, shoot them. Oh, and Thomas? You’ve been a slipshod sailor and a poor excuse for a soldier. Don’t disappoint me again."
Pocahontas,Nakoma,Female,Native American,Powhatan,Supporting,True,True,Kocoum?
Pocahontas,Kocoum,Male,Native American,Powhatan,Supporting,True,True,What is it?
Pocahontas,Nakoma,Female,Native American,Powhatan,Supporting,True,True,It’s Pocahontas.
Pocahontas,Kocoum,Male,Native American,Powhatan,Supporting,True,True,What’s wrong? Is she all right?
Pocahontas,Nakoma,Female,Native American,Powhatan,Supporting,True,True,I think she’s in trouble.
Pocahontas,Grandmother Willow,Female,Mythical Entity,Nature/Spiritual,Supporting,False,False,"The earth is trembling, child. What’s happened?"
Pocahontas,Pocahontas,Female,Native American,Powhatan,Protagonist,True,True,The warriors are here!
Pocahontas,John Smith,Male,Caucasian,English,Protagonist,False,False,Pocahontas!
Pocahontas,Pocahontas,Female,Native American,Powhatan,Protagonist,True,True,John!
Pocahontas,John Smith,Male,Caucasian,English,Protagonist,False,False,Listen to me. My men are planning to attack your people. You’ve got to warn them.
Pocahontas,Pocahontas,Female,Native American,Powhatan,Protagonist,True,True,Maybe it’s not too late to stop this. You have to come with me and talk to my father.
Pocahontas,John Smith,Male,Caucasian,English,Protagonist,False,False,"Pocahontas, talking isn’t going to do any good. I already tried talking to my men but everything about this land has them spooked."
Pocahontas,Grandmother Willow,Female,Mythical Entity,Nature/Spiritual,Supporting,False,False,That’s the strangest creature I’ve ever seen!
Pocahontas,John Smith,Male,Caucasian,English,Protagonist,False,False,"Percy! Easy, Percy, come here!"
Pocahontas,Pocahontas,Female,Native American,Powhatan,Protagonist,True,True,"Meeko, come back!"
Pocahontas,John Smith,Male,Caucasian,English,Protagonist,False,False,"You see what I mean? Once two sides want to fight, nothing can stop them."
Pocahontas,Pocahontas,Female,Native American,Powhatan,Protagonist,True,True,"Come, come here!"
Pocahontas,John Smith,Male,Caucasian,English,Protagonist,False,False,"It’s all right, he’s a friend. Bad, bad dog! Sit!"
Pocahontas,Pocahontas,Female,Native American,Powhatan,Protagonist,True,True,What are you doing? Meeko!
Pocahontas,John Smith,Male,Caucasian,English,Protagonist,False,False,"Percy, get back here! Stop that!"
Pocahontas,Grandmother Willow,Female,Mythical Entity,Nature/Spiritual,Supporting,False,False,"All right, that’s enough! It’s enough to make your sap boil. Now then, there’s something I want to show you. Look. [Touches a vine to the river surface.]"
Pocahontas,Pocahontas,Female,Native American,Powhatan,Protagonist,True,True,The ripples.
Pocahontas,John Smith,Male,Caucasian,English,Protagonist,False,False,What about them?
Pocahontas,Grandmother Willow,Female,Mythical Entity,Nature/Spiritual,Supporting,False,False,"So small at first, then look how they grow. But someone has to start them."
Pocahontas,John Smith,Male,Caucasian,English,Protagonist,False,False,They’re not going to listen to us.
Pocahontas,Grandmother Willow,Female,Mythical Entity,Nature/Spiritual,Supporting,False,False,"Young man, sometimes the right path is not the easiest one. Don’t you see, only when the fighting stops can you can be together."
Pocahontas,John Smith,Male,Caucasian,English,Protagonist,False,False,"All right, let’s go talk to your father."
Pocahontas,Kocoum,Male,Native American,Powhatan,Supporting,True,True,[War cry.]
Pocahontas,Pocahontas,Female,Native American,Powhatan,Protagonist,True,True,[Gasp.]
Pocahontas,Pocahontas,Female,Native American,Powhatan,Protagonist,True,True,"Kocoum, no! Kocoum! Leave him alone! [Gasps.] Kocoum, stop!"
Pocahontas,Pocahontas,Female,Native American,Powhatan,Protagonist,True,True,[Gasp.]
Pocahontas,John Smith,Male,Caucasian,English,Protagonist,False,False,Thomas!
Pocahontas,Pocahontas,Female,Native American,Powhatan,Protagonist,True,True,You killed him!
Pocahontas,Pocahontas,Female,Native American,Powhatan,Protagonist,True,True,Get away from him!
Pocahontas,John Smith,Male,Caucasian,English,Protagonist,False,False,"Pocahontas, it won’t help! He was only—"
Pocahontas,Pocahontas,Female,Native American,Powhatan,Protagonist,True,True,He killed him!
Pocahontas,John Smith,Male,Caucasian,English,Protagonist,False,False,"Thomas, get out of here. Get out of here!"
Pocahontas,Powhatan,Male,Native American,Powhatan,Supporting,True,True,Who did this?
Pocahontas,Powhatan,Male,Native American,Powhatan,Supporting,True,True,Your weapons are strong. But now our anger is stronger. At sunrise he will be the first to die!
Pocahontas,Pocahontas,Female,Native American,Powhatan,Protagonist,True,True,But father!
Pocahontas,Powhatan,Male,Native American,Powhatan,Supporting,True,True,I told you to stay in the village. You disobeyed me. You have shamed your father!
Pocahontas,Pocahontas,Female,Native American,Powhatan,Protagonist,True,True,I was only trying to help.
Pocahontas,Powhatan,Male,Native American,Powhatan,Supporting,True,True,"Because of your foolishness, Kocoum is dead! Take him away. [Exits.]"
Pocahontas,Pocahontas,Female,Native American,Powhatan,Protagonist,True,True,Kocoum was just coming to protect me.
Pocahontas,Nakoma,Female,Native American,Powhatan,Supporting,True,True,"Pocahontas, I sent Kocoum after you. I was worried about you. I thought I was doing the right thing."
Pocahontas,Pocahontas,Female,Native American,Powhatan,Protagonist,True,True,All of this happened because of me… And now I’ll never see John Smith again.
Pocahontas,Nakoma,Female,Native American,Powhatan,Supporting,True,True,Come with me.
Pocahontas,Nakoma,Female,Native American,Powhatan,Supporting,True,True,Pocahontas wants to look into the eyes of the man who killed Kocoum.
Pocahontas,John Smith,Male,Caucasian,English,Protagonist,False,False,Pocahontas!
Pocahontas,Pocahontas,Female,Native American,Powhatan,Protagonist,True,True,I’m so sorry.
Pocahontas,John Smith,Male,Caucasian,English,Protagonist,False,False,"For what, this? I’ve gotten out of worse scrapes than this. Can’t think of any right now, but…"
Pocahontas,Pocahontas,Female,Native American,Powhatan,Protagonist,True,True,"It would’ve been better if we’d never met, none of this would’ve happened."
Pocahontas,John Smith,Male,Caucasian,English,Protagonist,False,False,"Pocahontas, look at me. I’d rather die tomorrow than live a hundred years without knowing you."
Pocahontas,Nakoma,Female,Native American,Powhatan,Supporting,True,True,Pocahontas?
Pocahontas,Pocahontas,Female,Native American,Powhatan,Protagonist,True,True,I can’t leave you.
Pocahontas,John Smith,Male,Caucasian,English,Protagonist,False,False,"You never will. No matter what happens to me, I’ll always be with you. Forever."
Pocahontas,Ratcliffe,Male,Caucasian,English,Antagonist,False,False,"It’s perfect, Wiggins! I couldn’t have planned this better myself. The gold is as good as mine!"
Pocahontas,Ratcliffe,Male,Caucasian,English,Antagonist,False,False,"And so we shall! I told you those savages couldn’t be trusted. Smith tried to befriend them, and look what they’ve done to him. But now I say it’s time to rescue our courageous comrade. At daybreak, we attack!"
Pocahontas,Ratcliffe,Male,Caucasian,English,Antagonist,False,False,Barely even human
Pocahontas,Ratcliffe,Male,Caucasian,English,Antagonist,False,False,Drive them to our shore
Pocahontas,Kekata,Male,Native American,Powhatan,Supporting,True,True,Beneath that milky hide
Pocahontas,Powhatan,Male,Native American,Powhatan,Supporting,True,True,Barely even human
Pocahontas,Powhatan,Male,Native American,Powhatan,Supporting,True,True,Killers at the core
